slug,date,open,high,low,close,currency
EUR/JPY,2017-12-11,133.598007,133.873993,133.520004,133.608994,JPY
EUR/JPY,2017-12-12,133.722,133.746994,133.171005,133.697006,JPY
EUR/GBP,2017-12-12,0.88235,0.88423,0.87925,0.88219,GBP
EUR/USD,2017-12-12,1.177718,1.179299,1.171893,1.177759,USD
EUR/USD,2017-12-13,1.174357,1.177024,1.173048,1.17426,USD
EUR/JPY,2017-12-13,133.300003,133.328995,132.880005,133.322998,JPY
EUR/GBP,2017-12-13,0.88157,0.8825,0.87824,0.88155,GBP
EUR/USD,2017-12-14,1.183992,1.185986,1.177163,1.183586,USD
EUR/JPY,2017-12-14,133.449005,133.705994,132.455002,133.479996,JPY
EUR/GBP,2017-12-14,0.88258,0.88319,0.8762,0.88263,GBP
EUR/USD,2017-12-15,1.177523,1.181401,1.176166,1.177496,USD
EUR/JPY,2017-12-15,132.330002,132.714996,132.050003,132.339996,JPY
EUR/GBP,2017-12-15,0.87656,0.88591,0.87623,0.87653,GBP
EUR/GBP,2017-12-18,0.88175,0.88386,0.87925,0.88178,GBP
EUR/JPY,2017-12-18,132.380005,132.994003,132.350006,132.365005,JPY
EUR/USD,2017-12-18,1.174674,1.183432,1.174315,1.174357,USD
EUR/JPY,2017-12-19,132.660004,133.574997,132.600006,132.651001,JPY
EUR/USD,2017-12-19,1.178287,1.183292,1.177704,1.178425,USD
EUR/GBP,2017-12-19,0.88064,0.88633,0.88049,0.8806,GBP
EUR/USD,2017-12-20,1.183712,1.190122,1.183012,1.184133,USD
EUR/JPY,2017-12-20,133.753006,134.731003,133.658997,133.744003,JPY
EUR/GBP,2017-12-20,0.88424,0.8878,0.88285,0.88429,GBP
EUR/GBP,2017-12-21,0.88834,0.88895,0.8873,0.88822,GBP
EUR/USD,2017-12-21,1.187775,1.189202,1.185017,1.187818,USD
EUR/JPY,2017-12-21,134.492996,134.889999,134.451996,134.501999,JPY
EUR/USD,2017-12-22,1.185157,1.186197,1.181754,1.185733,USD
EUR/JPY,2017-12-22,134.244003,134.481003,133.901001,134.360001,JPY
EUR/GBP,2017-12-22,0.88585,0.88709,0.88353,0.88612,GBP
EUR/JPY,2017-12-25,134.225998,134.580002,134.132004,134.300003,JPY
EUR/USD,2017-12-25,1.185677,1.188495,1.184904,1.185607,USD
EUR/GBP,2017-12-25,0.88508,0.8889,0.88143,0.88508,GBP
EUR/USD,2017-12-26,1.187127,1.18779,1.18475,1.187254,USD
EUR/GBP,2017-12-26,0.88754,0.88901,0.88674,0.8874,GBP
EUR/JPY,2017-12-26,134.503998,134.546005,134.223007,134.511002,JPY
EUR/JPY,2017-12-27,134.227005,134.960007,134.190002,134.229996,JPY
EUR/USD,2017-12-27,1.186099,1.191043,1.185565,1.185789,USD
EUR/GBP,2017-12-27,0.8867,0.8882,0.88551,0.88653,GBP
EUR/USD,2017-12-28,1.190023,1.1955,1.189825,1.190079,USD
EUR/GBP,2017-12-28,0.88786,0.88912,0.8866,0.8878,GBP
EUR/JPY,2017-12-28,134.748001,134.951996,134.460999,134.727005,JPY
EUR/GBP,2017-12-29,0.8882,0.88913,0.88588,0.88832,GBP
EUR/USD,2017-12-29,1.193987,1.202284,1.193802,1.194172,USD
EUR/JPY,2017-12-29,134.779999,135.481995,134.572998,134.778,JPY
EUR/JPY,2018-01-01,135.240005,135.369995,135.165497,135.240005,JPY
EUR/USD,2018-01-01,1.200495,1.201504,1.199904,1.200495,USD
EUR/GBP,2018-01-01,0.8883,0.8909,0.8876,0.8881,GBP
EUR/JPY,2018-01-02,135.445007,135.598007,134.940002,135.440002,JPY
EUR/GBP,2018-01-02,0.88887,0.89155,0.88617,0.88892,GBP
EUR/USD,2018-01-02,1.201086,1.208094,1.200855,1.201158,USD
EUR/JPY,2018-01-03,135.406998,135.496002,134.809998,135.401001,JPY
EUR/USD,2018-01-03,1.2062,1.206709,1.200495,1.206345,USD
EUR/GBP,2018-01-03,0.88723,0.88993,0.88489,0.8872,GBP
EUR/JPY,2018-01-04,135.253998,136.352997,135.244003,135.233994,JPY
EUR/GBP,2018-01-04,0.8889,0.89222,0.888,0.88884,GBP
EUR/USD,2018-01-04,1.201129,1.20919,1.200495,1.201043,USD
EUR/GBP,2018-01-05,0.89039,0.89071,0.8868,0.8903,GBP
EUR/JPY,2018-01-05,136.093002,136.626007,136.089996,136.121994,JPY
EUR/USD,2018-01-05,1.206622,1.208459,1.202154,1.206884,USD
EUR/JPY,2018-01-08,136.188995,136.313995,135.130005,136.203003,JPY
EUR/GBP,2018-01-08,0.88657,0.88752,0.88161,0.88662,GBP
EUR/USD,2018-01-08,1.203949,1.2054,1.195972,1.203746,USD
EUR/JPY,2018-01-09,135.460999,135.468002,134.056,135.434006,JPY
EUR/GBP,2018-01-09,0.88203,0.88328,0.8807,0.88205,GBP
EUR/USD,2018-01-09,1.19696,1.197576,1.191796,1.197046,USD
EUR/JPY,2018-01-10,134.518997,134.522003,133.289993,134.501999,JPY
EUR/USD,2018-01-10,1.192933,1.201634,1.192449,1.192933,USD
EUR/GBP,2018-01-10,0.8816,0.88722,0.8813,0.88155,GBP
EUR/USD,2018-01-11,1.195486,1.205923,1.193118,1.195614,USD
EUR/JPY,2018-01-11,133.201004,134.341003,133.110001,133.237,JPY
EUR/GBP,2018-01-11,0.8847,0.89118,0.88466,0.88477,GBP
EUR/JPY,2018-01-12,134.007996,135.348007,133.929993,134.014008,JPY
EUR/USD,2018-01-12,1.20421,1.215613,1.204137,1.20421,USD
EUR/GBP,2018-01-12,0.8892,0.89233,0.88602,0.88919,GBP
EUR/GBP,2018-01-15,0.88791,0.89091,0.88727,0.88779,GBP
EUR/USD,2018-01-15,1.219304,1.2299,1.218814,1.21923,USD
EUR/JPY,2018-01-15,135.542999,135.970001,135.009995,135.449997,JPY
EUR/USD,2018-01-16,1.226994,1.228124,1.219676,1.226843,USD
EUR/GBP,2018-01-16,0.8893,0.88981,0.88625,0.88906,GBP
EUR/JPY,2018-01-16,135.697998,136.091995,134.990005,135.656998,JPY
EUR/USD,2018-01-17,1.227144,1.232149,1.219914,1.227129,USD
EUR/GBP,2018-01-17,0.8893,0.89057,0.88407,0.88928,GBP
EUR/JPY,2018-01-17,135.360001,135.880997,135.139999,135.451996,JPY
EUR/USD,2018-01-18,1.218145,1.226257,1.217508,1.218398,USD
